编号,站点,站址,纬度,经度,汛情(米)
60607900,泸定,四川省 甘孜藏族自治州,29.916667,102.233333,0.76
60613300,登瀛岩,四川省 内江市,29.907468,104.726517,2.98
60706300,舟曲,甘肃省 甘南藏族自治州,33.781944,104.356944,1.39
60302600,庄房（二）,云南省 丽江市,27.2875,100.8582,0.06
60604800,邛崃,四川省 成都市,30.388655,103.466268,0.66
60611379,宝兴,四川省 雅安市,30.374167,102.808056,0.18
60625350,青神,四川省 眉山市,29.834731,103.86039,0.41
60715955,小河坝(三),重庆市 市辖区,30.18,105.83,7.17
60703800,北碚(三),重庆市 市辖区,29.85,106.416667,3.97
60706400,武都, ,33.389444,104.920833,0.88
60706700,碧口, ,32.751944,105.245278,0.55
60603100,五通桥（二）,四川省 乐山市,29.348076,103.82421,3.43
60613950,富顺,四川省 自贡市,29.133056,104.966667,5.38
60715350,潼川,四川省 绵阳市,31.091667,105.103611,0.38
60104800,朱沱(三),重庆市 市辖区,29.016667,105.85,0.25
60105400,寸滩,重庆市 市辖区,29.626667,106.6,5.55
60601100,镇江关,四川省 阿坝藏族羌族自治州,32.3,103.733333,0.23
60714950,江油,四川省 绵阳市,31.788333,104.750556,0.12
61511900,岳阳,湖南省 岳阳市,29.392444,113.088611,0.07
62904100,缺口,安徽省 合肥市,31.1498,117.482398,0.68
60101300,石鼓,云南省 迪庆藏族自治州,26.87,99.958611,1.22
60603300,高场(五),四川省 宜宾市,28.796389,104.413056,4.90
61512000,城陵矶(七里山), ,29.414444,113.124167,0.04
40200600,若尔盖,四川省 阿坝藏族羌族自治州,33.583333,102.933333,0.62
40300200,碌曲, ,34.593975,102.458625,0.23
60612000,夹江,四川省 乐山市,29.7525,103.542778,1.55
60612800,三皇庙（二）,四川省 成都市,30.797087,104.466697,2.41
60715700,南北堰,四川省 遂宁市,30.6,105.483333,1.27
62601200,星子,江西省 九江市,29.4454,116.0496,0.24
60110500,监利(二),湖北省 荆州市,29.780556,112.853056,0.32
60602600,彭山（四）,四川省 眉山市,30.208415,103.886457,0.27
61500300,新江口,湖北省 荆州市,30.183056,111.783056,0.16
