【千锋教育】web前端 1000集全套（学完可就业/持续更新~）,h5,274:53:22,393000,11000,2019/3/11,逆风微笑的代码狗,http://www.bilibili.com/video/av45705742?from=search&seid=11791596652186258788
【好程序员】2019Python全套视频教程,python,201:20:27,7601,260,2019/8/2,千锋教育,http://www.bilibili.com/video/av61788890?from=search&seid=11791596652186258788
【千锋教育】Python 900集（学完可就业/2019版）,python,350:51:44,41000,848,2019/9/27,千锋教育,http://www.bilibili.com/video/av69060979?from=search&seid=11791596652186258788
【千锋教育】Web安全   kali Linux渗透攻防项目实战,其他,12:16:31,3778,9,2019/8/3,逆风微笑的代码狗,http://www.bilibili.com/video/av62065508?from=search&seid=11791596652186258788
【（千锋教育）课外拓展】Spring Security oAuth2,java,3:14:03,40000,790,2019/4/7,鲁斯菲尔,http://www.bilibili.com/video/av48590637?from=search&seid=11791596652186258788
【好程序员】大数据 800集（学完可就业/2019版）,大数据,245:47:04,4232,6,2019/10/9,千锋教育,http://www.bilibili.com/video/av70686156?from=search&seid=11791596652186258788
千锋大数据视频教程：从入门到精通（大全集）,大数据,130:54:58,13000,77,2018/12/24,技术宅子,http://www.bilibili.com/video/av38901103?from=search&seid=11791596652186258788
2018千锋Java高级教程-Java微服务架构（Spring Boot + Spring Cloud）,java,48:10:11,120000,2063,2018/11/16,千锋教育,http://www.bilibili.com/video/av36042649?from=search&seid=11791596652186258788
【（千锋教育）Java 微服务架构合集】解决复杂问题,java,25:19:54,59000,1498,2018/8/15,鲁斯菲尔,http://www.bilibili.com/video/av29384041?from=search&seid=11791596652186258788
【（千锋教育）Java 微服务架构 Alibaba 篇】Spring Cloud Alibaba,java,4:19:10,23000,273,2019/1/17,鲁斯菲尔,http://www.bilibili.com/video/av40924228?from=search&seid=11791596652186258788
【（千锋教育）服务网格化 Service Mesh】Kubernetes,其他,5:36:22,16000,208,2019/5/13,鲁斯菲尔,http://www.bilibili.com/video/av52359802?from=search&seid=11791596652186258788
【千锋教育】物联网 500集（学完可就业/2019版）,其他,95:18:58,4104,9,2019/10/7,千锋教育,http://www.bilibili.com/video/av70487647?from=search&seid=11791596652186258788
【（千锋教育）2019Java单体应用项目实战教程】（118集）,java,49:27:03,7048,12,2019/5/30,程序员手札,http://www.bilibili.com/video/av54016395?from=search&seid=11791596652186258788
【千锋教育】Linux云计算 350集（学完可就业/2019版）,其他,152:23:31,4358,5,2019/9/29,千锋教育,http://www.bilibili.com/video/av69426442?from=search&seid=11791596652186258788
【千锋教育】Go语言 基础+进阶+高级（学完可就业/2019版）-连载中,其他,32:30:25,7310,75,2019/10/7,千锋教育,http://www.bilibili.com/video/av70488008?from=search&seid=11791596652186258788
千锋python教程：Django基础到实战讲解（精华版）,python,34:22:31,182000,4282,2018/1/2,千锋教育,http://www.bilibili.com/video/av17879644?from=search&seid=11791596652186258788
【千锋教育】软件测试 600集（学完可就业/2019版）,其他,167:32:36,6822,42,2019/9/29,千锋教育,http://www.bilibili.com/video/av69422334?from=search&seid=11791596652186258788
【千锋教育】GO语言工程师 300集（实战项目）,其他,77:15:54,16000,26,2019/5/1,逆风微笑的代码狗,http://www.bilibili.com/video/av50544433?from=search&seid=11791596652186258788
【千锋教育】Python 从入门到入坟 900集（学完可就业2019版）,python,348:55:39,2908,2,2019/11/9,萧曵__,http://www.bilibili.com/video/av75052163?from=search&seid=11791596652186258788
