资深数据分析师,北京,拉勾网,15k-30k,3-5年,本科,企业服务
数据分析师(产品方向）,上海,Glow,13k-25k,1-3年,本科,"移动互联网,医疗丨健康"
数据分析师,北京,字节跳动,25k-50k,3-5年,本科,"内容资讯,短视频"
数据分析师,北京,耀天游戏,15k-25k,1-3年,本科,"工具类产品,内容资讯"
资深数据分析师,上海,2345.com,15k-25k,3-5年,本科,"人工智能服务,IT技术服务｜咨询"
资深数据分析师,北京,字节跳动,15k-30k,3-5年,本科,"内容资讯,短视频"
高级数据分析师,上海,Shopee,18k-35k,3-5年,本科,电商平台
资深数据分析师,深圳,Shopee,20k-35k,3-5年,本科,电商平台
资深数据分析师,上海,酷家乐,20k-35k,3-5年,本科,软件服务｜咨询
数据分析师,杭州,酷家乐,20k-30k,3-5年,本科,软件服务｜咨询
高级数据分析师,深圳,OPPO,20k-40k,3-5年,本科,智能硬件
数据分析,杭州,魔筷科技,20k-40k,5-10年,本科,"软件服务｜咨询,电商平台"
数据分析师,深圳,OPPO,20k-40k,3-5年,本科,智能硬件
数据分析师,深圳,编程猫,15k-25k,3-5年,本科,在线教育
资深数据分析师,上海,维信金科,20k-40k,3-5年,本科,科技金融
高级数据分析师,北京,完美世界,20k-40k,3-5年,本科,游戏
数据分析师,广州,虎牙科技,10k-12k,1-3年,本科,"游戏,MCN｜直播平台"
数据分析师,北京,映客,20k-40k,3-5年,不限,MCN｜直播平台
数据分析师,北京,360,15k-25k,1-3年,本科,"工具类产品,信息检索,信息安全"
高级数据分析师,北京,美图公司,20k-30k,3-5年,本科,"工具类产品,智能硬件"
高级数据分析师,杭州,二维火,18k-26k,3-5年,本科,消费生活
数据分析师,深圳,编程猫,15k-30k,3-5年,本科,在线教育
数据分析师,北京,映客,15k-20k,1-3年,不限,MCN｜直播平台
数据分析师,上海,欢动科技,8k-15k,不限,本科,游戏
高级数据分析师,杭州,学同科技,15k-30k,不限,本科,"人工智能服务,数据服务｜咨询,软件服务｜咨询"
数据分析师,北京,易观,25k-50k,3-5年,本科,数据服务｜咨询
高级数据分析师,北京,自如网,13k-20k,3-5年,本科,居住服务
数据分析师,广州,经传多赢,10k-20k,3-5年,本科,科技金融
数据分析师,北京,拉勾网,10k-20k,1-3年,本科,"工具类产品,在线教育"
高级数据分析师,北京,易观,25k-50k,5-10年,本科,数据服务｜咨询
数据分析师,深圳,艾利艾,8k-15k,1-3年,本科,"移动互联网,广告营销"
数据分析师,上海,樊登读书,10k-20k,1-3年,本科,"内容社区,在线教育"
数据分析专家,北京,Riley Cillian莱熙科技,20k-40k,5-10年,本科,社交媒体
