,area,title,community,position,tax,total_price,unit_price,hourseType,hourseSize,direction,fitment
0,罗湖区,满五红本， 户型方正朝南，自住装修保养好，花园社区,金城华庭,螺岭,房本满五年,710.0,79552.0,3室1厅,89.25,南,精装
1,罗湖区,7号线洪湖站前59万平洪湖公园后京基水贝*2个万象城,洪湖东岸,翠竹,房本满五年,408.0,54736.0,3室1厅,74.54,西,精装
2,罗湖区,《供电南苑。复式三层四房户型》万象城，地理位置优越,供电南苑,万象城,房本满五年,850.0,67649.0,4室1厅,125.65,西,简装
3,罗湖区,不用明额 满两年红本 高层东南三房 有钥匙随时可看,翡翠公寓,翠竹,房本满五年,360.0,60627.0,3室2厅,59.38,南,精装
4,罗湖区,都市名园 2室1厅 370万,都市名园,万象城,,370.0,48259.0,2室1厅,76.67,东北,简装
5,罗湖区,晒布路73号大院 2室2厅 350万,晒布路73号大院,东门,房本满五年,350.0,47426.0,2室2厅,73.8,南,简装
6,罗湖区,文华花园高层精装三居室，可直接拎包入住，业主诚售,文华花园,黄贝岭,,350.0,40893.0,3室1厅,85.59,北,精装
7,罗湖区,凤凰印象 红本在手 满5年 唯一,凤凰印象,螺岭,房本满五年,308.0,70805.0,1室1厅,43.5,东北,精装
8,罗湖区,金源大厦 方正大两房  国贸商圈 地铁物业 住家直选,金源大厦,春风路,,310.0,39346.0,2室2厅,78.79,东南,简装
9,罗湖区,中海天钻 ，大三房，花园小区，毛坯可以安喜好装修。,中海天钻,万象城,房本满五年,900.0,89571.0,3室1厅,100.48,南,精装
10,罗湖区,靖轩豪苑 3房 户型方正实用 价格便宜,靖轩豪苑,黄贝岭,,520.0,58957.0,3室1厅,88.2,东,简装
11,罗湖区,置地逸轩 一室一厅 价格实在 诚心卖,置地逸轩,春风路,房本满五年,250.0,53090.0,1室1厅,47.09,北,其他
12,罗湖区,东门168 1室0厅 180万,东门168,螺岭,,180.0,83527.0,1室0厅,21.55,西南,简装
